number,texture groups that occur together
87,"Cobbly coarse sand, Gravelly loamy fine sand, Gravelly loamy sand"
88,"Cobbly coarse sand, Gravelly loamy fine sand, Gravelly sand"
89,"Cobbly coarse sand, Gravelly loamy fine sand, Very gravelly loamy sand"
90,"Cobbly coarse sand, Gravelly loamy sand, Very gravelly sand"
91,"Cobbly coarse sand, Gravelly sand, Loamy fine sand, Sand, Stratified sand to loamy fine sand, Very gravelly coarse sand, Very gravelly sand"
92,"Cobbly fine sandy loam, Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
93,"Cobbly fine sandy loam, Fine sandy loam, Loam, Sandy loam"
94,"Cobbly fine sandy loam, Gravelly fine sandy loam, Highly organic fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
95,"Cobbly fine sandy loam, Gravelly loamy sand, Sandy loam"
96,"Cobbly fine sandy loam, Gravelly sandy loam, Silt loam"
97,"Cobbly loam, Fine sandy loam, Gravelly fine sandy loam"
98,"Cobbly loam, Gravelly silt loam, Silt loam"
99,"Cobbly loamy coarse sand, Extremely cobbly loamy coarse sand, Extremely gravelly coarse sand, Loamy coarse sand, Loamy fine sand, Loamy sand, Sand, Very gravelly loamy sand, Very gravelly sand"
100,"Cobbly loamy coarse sand, Extremely gravelly coarse sand, Gravelly loamy sand, Loamy coarse sand, Loamy fine sand, Loamy sand, Sand"
101,"Cobbly loamy sand, Gravelly fine sandy loam, Sandy loam"
102,"Cobbly loamy sand, Gravelly sandy loam, Sandy loam"
103,"Cobbly sandy loam, Fine sandy loam, Gravelly very fine sandy loam"
104,"Cobbly sandy loam, Fine sandy loam, Loam, Sandy loam"
105,"Cobbly sandy loam, Gravelly fine sandy loam, Loam"
106,"Cobbly sandy loam, Gravelly fine sandy loam, Silt loam"
107,"Cobbly sandy loam, Gravelly fine sandy loam, Silt loam, Very cobbly sandy loam"
108,"Cobbly sandy loam, Gravelly fine sandy loam, Silt loam, Very cobbly sandy loam, Very gravelly fine sandy loam"
109,"Cobbly sandy loam, Gravelly silt loam, Very gravelly silt loam"
110,"Cobbly silt loam, Extremely flaggy silt loam, Gravelly loam, Silt loam"
111,"Cobbly silt loam, Gravelly loam, Silt loam"
112,"Cobbly silt loam, Gravelly loam, Very cobbly silt loam"
113,"Cobbly silt loam, Loam, Parachannery silt loam"
114,"Extremely channery loam, Extremely channery silt loam, Very channery loam, Very channery silt loam"
115,"Extremely channery loam, Silt loam, Very channery silt loam"
116,"Extremely channery loam, Very channery loam, Very channery sandy loam, Very channery silt loam"
117,"Extremely channery silt loam, Very channery loam, Very channery sandy loam, Very flaggy loam"
118,"Extremely cobbly coarse sand, Very gravelly fine sandy loam, Very gravelly sandy loam"
119,"Extremely cobbly loamy coarse sand, Extremely gravelly coarse sand, Extremely gravelly sand, Stratified gravel to very gravelly sand, Very gravelly loamy coarse sand, Very gravelly sand"
120,"Extremely cobbly loamy sand, Sandy loam"
121,"Extremely flaggy loam, Very channery sandy loam, Very channery silt loam"
122,"Extremely gravelly coarse sand, Extremely gravelly loamy coarse sand, Extremely gravelly sand, Gravelly coarse sand, Gravelly loamy coarse sand, Gravelly sand, Very gravelly coarse sand, Very gravelly loamy coarse sand, Very gravelly sand"
123,"Extremely gravelly coarse sand, Extremely gravelly loamy sand, Very gravelly loamy sand, Very gravelly sandy loam"
124,"Extremely gravelly coarse sand, Extremely gravelly sand, Very gravelly coarse sand"
125,"Extremely gravelly coarse sand, Extremely gravelly sand, Very gravelly loamy sand"
126,"Extremely gravelly coarse sand, Extremely gravelly sand, Very gravelly sand"
127,"Extremely gravelly coarse sand, Fine sandy loam, Loamy sand, Sandy loam"
128,"Extremely gravelly coarse sand, Gravelly fine sandy loam, Gravelly loamy sand, Very gravelly sandy loam"
129,"Extremely gravelly coarse sand, Gravelly loamy sand, Very gravelly sand"
130,"Extremely gravelly coarse sand, Sand"
131,"Extremely gravelly coarse sand, Very cobbly sand, Very gravelly loamy sand"
132,"Extremely gravelly coarse sand, Very gravelly coarse sand, Very gravelly sand"
133,"Extremely gravelly coarse sand, Very gravelly loamy fine sand, Very gravelly loamy sand"
134,"Extremely gravelly coarse sand, Very gravelly loamy sand, Very gravelly sand"
135,"Extremely gravelly fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
136,"Extremely gravelly loam, Gravelly loam, Very channery silt loam, Very gravelly sandy loam"
137,"Extremely gravelly loamy coarse sand, Gravelly sandy loam, Very gravelly loamy sand, Very gravelly sand"
138,"Extremely gravelly loamy coarse sand, Very cobbly sand, Very gravelly coarse sand, Very gravelly loamy sand"
139,"Extremely gravelly loamy coarse sand, Very gravelly coarse sand"
140,"Extremely gravelly loamy fine sand, Gravelly loamy fine sand, Very gravelly loamy sand, Very gravelly sand"
141,"Extremely gravelly loamy sand, Gravelly loamy fine sand, Very gravelly loamy sand, Very gravelly sand"
142,"Extremely gravelly loamy sand, Very channery fine sandy loam, Very cobbly sandy loam"
143,"Extremely gravelly sand, Gravelly coarse sand, Very gravelly loamy coarse sand"
144,"Extremely gravelly sand, Gravelly fine sandy loam, Very gravelly coarse sand"
145,"Extremely gravelly sand, Gravelly loamy sand, Loamy coarse sand, Very gravelly coarse sand"
146,"Extremely gravelly sand, Very gravelly coarse sand, Very gravelly loamy coarse sand"
147,"Extremely gravelly sand, Very gravelly coarse sand, Very gravelly loamy sand"
148,"Extremely gravelly sandy loam, Gravelly loam, Very channery silt loam, Very gravelly sandy loam"
149,"Extremely parachannery loam, Parachannery sandy loam, Very parachannery silt loam"
150,"Fine sand, Fine sandy loam, Loamy fine sand, Loamy sand, Sand, Sandy loam"
151,"Fine sand, Fine sandy loam, Loamy sand"
152,"Fine sand, Fine sandy loam, Very fine sand"
153,"Fine sand, Gravelly coarse sand, Sand"
154,"Fine sand, Gravelly loamy fine sand, Very gravelly coarse sand"
155,"Fine sand, Gravelly loamy sand, Sand"
156,"Fine sand, Loamy fine sand, Loamy sand, Sand"
157,"Fine sand, Loamy fine sand, Sand"
158,"Fine sand, Loamy fine sand, Stratified gravelly sand"
159,"Fine sand, Loamy fine sand, Very gravelly sand"
160,"Fine sand, Loamy sand, Sand"
161,"Fine sand, Sand"
162,"Fine sand, Sand, Very fine sand"
163,"Fine sand, Sand, Very fine sandy loam"
164,"Fine sand, Very fine sandy loam"
165,"Fine sandy loam, Gravelly coarse sand, Loamy fine sand, Loamy sand"
166,"Fine sandy loam, Gravelly coarse sand, Loamy sand, Sandy loam"
167,"Fine sandy loam, Gravelly fine sandy loam"
168,"Fine sandy loam, Gravelly fine sandy loam, Gravelly loam, Loam"
