number,texture groups that occur together
375,"Loamy fine sand, Loamy sand"
376,"Loamy fine sand, Loamy sand, Mucky loamy fine sand, Sand"
377,"Loamy fine sand, Loamy sand, Sand"
378,"Loamy fine sand, Loamy sand, Sand, Very gravelly coarse sand"
379,"Loamy fine sand, Loamy very fine sand"
380,"Loamy fine sand, Mucky loamy sand, Sand, Very gravelly coarse sand"
381,"Loamy fine sand, Silt loam, Very fine sandy loam"
382,"Loamy sand, Mucky sand, Sand"
383,"Loamy sand, Mucky sand, Sandy loam"
384,"Loamy sand, Mucky sandy loam, Sand"
385,"Loamy sand, Silt loam, Very fine sandy loam"
386,"Loamy very fine sand, Sandy clay loam, Silt loam"
387,"Loamy very fine sand, Silt loam, Very fine sand"
388,"Loamy very fine sand, Silt loam, Very fine sand, Very fine sandy loam"
389,"Loamy very fine sand, Silt loam, Very fine sandy loam"
390,"Moderately decomposed plant material, Slightly decomposed plant material"
391,"Muck, Mucky peat"
392,"Muck, Mucky peat, Peat"
393,"Mucky peat, Peat"
394,"Mucky silt loam, Silt loam"
395,"Mucky silt loam, Silt loam, Silty clay loam"
396,"Sandy loam, Silt loam, Silty clay loam"
397,"Sandy loam, Silt loam, Very fine sand"
398,"Sandy loam, Silt loam, Very fine sandy loam"
399,"Sandy loam, Very fine sandy loam"
400,"Sandy loam, Very gravelly sandy loam"
401,"Silt loam, Silty clay loam"
402,"Silt loam, Silty clay loam, Very fine sandy loam"
403,"Silt loam, Silty clay, Silty clay loam"
404,"Silt loam, Stratified gravelly silt loam to sandy clay"
405,"Silt loam, Stratified very gravelly silt loam to very gravelly sandy clay"
406,"Silt loam, Very fine sand, Very fine sandy loam"
407,"Silt loam, Very fine sandy loam"
408,"Silty clay, Silty clay loam"
409,"Stratified gravel to coarse sandy loam, Stratified gravel to gravelly coarse sandy loam, Stratified gravel to gravelly loamy coarse sand, Stratified gravel to gravelly loamy fine sand, Stratified gravel to gravelly loamy sand, Stratified gravel to gravelly sandy loam, Stratified gravel to loamy coarse sand, Stratified gravel to loamy fine sand, Stratified gravel to loamy sand, Stratified gravel to sandy loam"
410,"Stratified very gravelly coarse sand, Very cobbly sand, Very gravelly loamy sand"
411,"Very cobbly sand, Very gravelly coarse sand, Very gravelly loamy sand"
412,"Very cobbly sandy loam, Very gravelly loamy sand, Very gravelly sandy loam"
413,"Very gravelly loamy coarse sand, Very gravelly loamy sand"
